SALLE;ETAGERE;SECTEUR;DISCIPLINE;Sous-discipline (à voir ?);COTE;COTE (archive)
Sciences Sociales;;Sociologie;Groupes sociaux - Classes sociales ;;301.185;301.185]
Sciences Sociales;;Sociologie;Stratification sociale ;;301.187;301.187]
Sciences Sociales;;Sociologie;Sociologie par grands domaines ;;301.188;301.188]
Sciences Sociales;;Sociologie;Sociologues, Anthropologues ;;301.199;301.199]
Sciences Sociales;;Sociologie;Problèmes sociaux. Travail social ;;304;304]
Sciences Sociales;;Sociologie;Mémoires. Récits personnels ;;308;308]
Sciences Sociales;;Sociologie;Démographie ;;314;314]
Sciences Sociales;;Sociologie;Socialisme ;;335;335]
Sciences Sociales;;Sciences de l'éducation;Sciences de l'éducation - Généralité ;;37 sauf 371 à 374,376 à 379;37 sauf 371 à 374,376 à 379]
Sciences Sociales;;Sciences de l'éducation;Organisation des systèmes d'enseignement ;;371;371]
Sciences Sociales;;Sciences de l'éducation;Didactique ;;372;372]
Sciences Sociales;;Sciences de l'éducation;Systèmes éducatifs et scolaires ;;373;373]
Sciences Sociales;;Sciences de l'éducation;Formation continue ;;374;374]
Sciences Sociales;;Sciences de l'éducation;Education spécialisée ;;376;376]
Sciences Sociales;;Sciences de l'éducation;Enseignement technique et professionnel ;;377;377]
Sciences Sociales;;Sciences de l'éducation;Histoire des universités ;;378;378]
Sciences Sociales;;Sport;Sport ;;379.9;379.9]
Sciences Sociales;;Histoire des sciences;Sciences - Généralités ;;5 sauf 50 à 59;5 sauf 50 à 59]
Sciences Sociales;;Histoire des sciences;Sciences environnementales ;;502;502]
Economie;;Mathématiques;Mathématiques ;;51;51]
Sciences Sociales;;Histoire des sciences;Astronomie, cosmologie, astrophysique, astrochimie ;;52;52]
Sciences Sociales;;Histoire des sciences;Physique ;;53;53]
Sciences Sociales;;Histoire des sciences;Chimie ;;54 sauf 549;54 sauf 549]
Sciences Sociales;;Histoire des sciences;Minéralogie ;;549;549]
Sciences Sociales;;Histoire des sciences;Paléontologie, dinosaures ;;56 sauf 569;56 sauf 569]
Sciences Sociales;;Histoire des sciences;Paléontologie humaine ;;569;569]
Sciences Sociales;;Histoire des sciences;Biologie générale ;;57;57]
Sciences Sociales;;Histoire des sciences;Botanique ;;58;58]
Sciences Sociales;;Histoire des sciences;Biologie animale ;;59;59]
Sciences Sociales;;Histoire des sciences;Philosophie-histoire des techniques ;;6 sauf 61, 681;6 sauf 61, 681]
Sciences Sociales;;Médecine;Médecine - Généralités ;;61 sauf 611 à 618;61 sauf 611 à 618]
Sciences Sociales;;Médecine;Anatomie ;;611;611]
Sciences Sociales;;Médecine;Physiologie et biologie ;;612;612]
Sciences Sociales;;Médecine;Santé et hygiène ;;613;613]
Sciences Sociales;;Médecine;Santé et hygiène publique ;;614;614]
Sciences Sociales;;Médecine;Pharmacologie, psychotropes ;;615 sauf 615.851;615 sauf 615.851]
Sciences Sociales;;Médecine;Psychotérapie ;;615.851;615.851]
Sciences Sociales;;Médecine;Pathologie, médecine clinique ;;616 sauf 616.89;616 sauf 616.89]
Sciences Sociales;;Médecine;Psychiatrie ;;616.89;616.89]
Sciences Sociales;;Médecine;Chirurgie ;;617;617]
Sciences Sociales;;Médecine;Gynécologie, obstetrique, ménopause ;;618;618]
Economie;;Informatique;Informatique ;;681;681]
Sciences Humaines;;Beaux-Arts;Art en général ;;7 sauf 71, 72, 73, 74, 75, 76, 77, 78, 79;7 sauf 71, 72, 73, 74, 75, 76, 77, 78, 79]
Sciences Humaines;;Urbanisme;Urbanisme ;;71 sauf 712;71 sauf 712]
Sciences Humaines;;Beaux-Arts;Art des jardins ;;712;712]
Sciences Humaines;;Beaux-Arts;Architecture ;;72 sauf 725, 726, 727, 728, 729;72 sauf 725, 726, 727, 728, 729]
Sciences Humaines;;Beaux-Arts;B‰timents publics, civils, commerciaux et industriels ;;725;725]
Sciences Humaines;;Beaux-Arts;Architecture religieuse ;;726;726]
Sciences Humaines;;Beaux-Arts;Architecture des b‰timents culturels ;;727;727]
Sciences Humaines;;Beaux-Arts;Architecture domestique ;;728;728]
Sciences Humaines;;Beaux-Arts;Décoration des b‰timents ;;729;729]
Sciences Humaines;;Beaux-Arts;Sculpture ;;73 sauf 737,738,739;73 sauf 737,738,739]
Sciences Humaines;;Beaux-Arts;Numismatique ;;737;737]
Sciences Humaines;;Beaux-Arts;Céramique d'art ;;738;738]
Sciences Humaines;;Beaux-Arts;Arts du métal ;;739;739]
Sciences Humaines;;Beaux-Arts;Dessin et métiers d'art ;;74 sauf 741, 746, 747, 748, 749;74 sauf 741, 746, 747, 748, 749]
Sciences Humaines;;Beaux-Arts;Dessin satirique - Caricature ;;741;741]
Sciences Humaines;;Beaux-Arts;Travaux d'aiguilles ;;746;746]
Sciences Humaines;;Beaux-Arts;Architecture intérieure ;;747;747]
Sciences Humaines;;Beaux-Arts;Verrerie ;;748;748]
Sciences Humaines;;Beaux-Arts;Mobilier d'art ;;749;749]
Sciences Humaines;;Beaux-Arts;Peinture ;;75 sauf 753, 755, 757, 758;75 sauf 753, 755, 757, 758]
Sciences Humaines;;Beaux-Arts;Genres picturaux;;753 à 758;753 à 758]
Sciences Humaines;;Beaux-Arts;Arts graphiques ;;76;76]
Sciences Humaines;;Beaux-Arts;Photographie ;;77;77]
Sciences Humaines;;Arts du spectacle;Musique ;;78 sauf 781 à 789;78 sauf 781 à 789]
Sciences Humaines;;Arts du spectacle;Genres musicaux ;;781 à 789;781 à 789]
Sciences Humaines;;Arts du spectacle;Cinéma ;;791;791]
Sciences Humaines;;Arts du spectacle;Thé‰tre ;;792;792]
Langues et Littératures;;Linguistique;Linguistique générale ;;80 sauf 800 a 809;80 sauf 800 a 809]
Langues et Littératures;;Linguistique;Ouvrages généraux sur le langage ;;800;800]
Langues et Littératures;;Linguistique;Linguistique - ouvrages généraux ;;801;801]
Langues et Littératures;;Langues et littératures anglo-américaines;Langue anglaise ;;802 sauf 802.0(73);802 sauf 802.0(73)]
Langues et Littératures;;Langues et littératures anglo-américaines;Langue américaine ;;802.0(73);802.0(73)]
Langues et Littératures;;Langues et littératures germaniques;Langue allemande ;;803 sauf 803.9;803 sauf 803.9]
Langues et Littératures;;Langues et littératures germaniques;Langues germaniques autres que l'allemand ;;803.9;803.9]
Langues et Littératures;;Langue et littérature franèaise;Langue franèaise ;;804 sauf 804.99;804 sauf 804.99]
Langues et Littératures;;Langues et littératures hispaniques;Langue catalane ;;804.99;804.99]
Langues et Littératures;;Langue et littérature italienne;Langue italienne ;;805 sauf 805.90;805 sauf 805.90]
Langues et Littératures;;Langue et littérature roumaine;Linguistique roumaine ;;805.90;805.90]
Langues et Littératures;;Langues et littératures hispaniques;Langue espagnole ;;806.0 sauf 806.0(8);806.0 sauf 806.0(8)]
Langues et Littératures;;Langues et littératures hispaniques;Langue hispano-américaine ;;806.0(8);806.0(8)]
Langues et Littératures;;Langues et littératures lusophones;Langue portugaise ;;806.90;806.90]
Langues et Littératures;;Langues et littératures hispaniques;Langue galicienne ;;806.99;806.99]
Langues et Littératures;;Latin Grec;Langues classiques en général ou comparées ;;807.0;807.0]
Langues et Littératures;;Latin Grec;Latin classique (langue) ;;807.1;807.1]
Langues et Littératures;;Latin Grec;Langues italiques ;;807.2;807.2]
Langues et Littératures;;Latin Grec;Latin non classique ;;807.3;807.3]
Langues et Littératures;;Latin Grec;Langue grecque classique ;;807.5;807.5]
Langues et Littératures;;Latin Grec;Dialectes grecs ;;807.6;807.6]
Langues et Littératures;;Latin Grec;Langue Grecque non classique ;;807.7;807.7]
Langues et Littératures;;Langues et littératures orientales;Langues slaves ;;808.1;808.1]
Langues et Littératures;;Langues et littératures orientales;Langue russe ;;808.2;808.2]
Langues et Littératures;;Langues et littératures orientales;Langues d'Europe de l'Est ;;808.3 à 808.5;808.3 à 808.5]
Langues et Littératures;;Langues et littératures orientales;Langue serbo-croate ;;808.6 sauf 808.67;808.6 sauf 808.67]
Langues et Littératures;;Langues et littératures orientales;Langue bulgare ;;808.67;808.67]
Langues et Littératures;;Latin Grec;Dialectes pré-italiques ;;809.19;809.19]
Langues et Littératures;;Langues et littératures orientales;Langues orientales ;;809;809]
Langues et Littératures;;Littérature générale;Littérature générale ;;82 sauf 820;82 sauf 820]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature anglaise ;;820 sauf 820(4, 820(5, 820(6, 820(7, 820(9;820 sauf 820(4, 820(5, 820(6, 820(7, 820(9]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature du Commonwealth ;;820(41-44);820(41-44)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature irlandaise ;;820(417);820(417)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature anglaise de l'Inde ;;820(54);820(54)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature africaine de langue anglaise ;;820(6);820(6)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature canadienne ;;820(71);820(71)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature anglaise des Caraïbes ;;820(729.7/8);820(729.7/8)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature américaine ;;820(73);820(73)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature anglaise de Nouvelle-Zélande ;;820(931);820(931)]
Langues et Littératures;;Langues et littératures anglo-américaines;Littérature anglaise d'Australie ;;820(94);820(94)]
Langues et Littératures;;Langues et littératures germaniques;Littérature allemande ;;830;830]
Langues et Littératures;;Langues et littératures germaniques;Littératures germaniques autres que l'allemand ;;839;839]
Langues et Littératures;;Langue et littérature franèaise;Littérature franèaise ;;840;840
Langues et Littératures;;Langue et littérature franèaise;Littérature franèaise ;Littérature franèaise du 17e siècle;"840""16""";"840""16"""
Langues et Littératures;;Langue et littérature franèaise;Littérature franèaise ;Littérature franèaise du 18e siècle;"840""17""";"840""17"""
Langues et Littératures;;Langues et littératures hispaniques;Littérature catalane ;;849.9;849.9]
Langues et Littératures;;Langue et littérature italienne;Littérature italienne ;;850;850]
Langues et Littératures;;Langue et littérature roumaine;Littérature roumaine ;;859;859]
Langues et Littératures;;Langues et littératures hispaniques;Littérature espagnole ;;860 sauf 860(8);860 sauf 860(8)]
Langues et Littératures;;Langues et littératures hispaniques;Littérature hispano-américaine ;;860(8);860(8)]
Langues et Littératures;;Langues et littératures lusophones;Littérature portugaise ;;869.0 sauf 869.0(6) et 869.0(8);869.0 sauf 869.0(6) et 869.0(8)]
Langues et Littératures;;Langues et littératures lusophones;Littérature africaine de langue portugaise ;;869.0(6);869.0(6)]
Langues et Littératures;;Langues et littératures lusophones;Littérature brésilienne ;;869.0(8);869.0(8)]
Langues et Littératures;;Langues et littératures hispaniques;Littérature galicienne ;;869.90;869.90]
Langues et Littératures;;Latin Grec;Littératures classiques en général ou comparées ;;870;870]
Langues et Littératures;;Latin Grec;Littérature latine classique ;;871;871]
Langues et Littératures;;Latin Grec;Littérature latine médiévale ;;873.3;873.3]
Langues et Littératures;;Latin Grec;Littérature grecque classique ;;875;875]
Langues et Littératures;;Latin Grec;Littérature grecque byzantine ;;877.3;877.3]
Langues et Littératures;;Latin Grec;Littérature grecque moderne ;;877.4;877.4]
Langues et Littératures;;Langues et littératures orientales;Littérature slave en général ;;88 sauf 882, 883, 884, 885, 886, 887, 888;88 sauf 882, 883, 884, 885, 886, 887, 888]
Langues et Littératures;;Langues et littératures orientales;Littérature russe ;;882 sauf 882.6;882 sauf 882.6]
Langues et Littératures;;Langues et littératures orientales;Littérature biélo-russe ;;882.6;882.6]
Langues et Littératures;;Langues et littératures orientales;Littérature d'Europe de l'Est ;;883 à 885;883 à 885]
Langues et Littératures;;Langues et littératures orientales;Littérature serbo-croate ;;886 sauf 886.7;886 sauf 886.7]
Langues et Littératures;;Langues et littératures orientales;Littérature bulgare ;;886.7;886.7]
Langues et Littératures;;Langues et littératures orientales;Littératures orientales ;;891 à 895;891 à 895]
Sciences Humaines;;Histoire;Histoire - dictionnaires ;;9(03);9(03)]
Sciences Humaines;;Histoire;Archéologie ;;902;902]
Sciences Humaines;;Histoire;Préhistoire ;;903;903]
Sciences Humaines;;Géographie;Géographie - Généralités ;;91 sauf 910,911,912, 913 à 919;91 sauf 910,911,912, 913 à 919]
Sciences Humaines;;Géographie;Géographie - Questions générales ;;910;910]
Sciences Humaines;;Géographie;Géographie générale ;;911;911]
Sciences Humaines;;Géographie;Atlas ;;912;912]
Sciences Humaines;;Géographie;Géographie universelle ;;913;913]
Sciences Humaines;;Géographie;Géographie de l'Europe ;;914;914]
Sciences Humaines;;Géographie;Géographie de l'Asie ;;915;915]
Sciences Humaines;;Géographie;Géographie de l'Afrique ;;916;916]
Sciences Humaines;;Géographie;Géographie de l'Amérique du Nord et centrale ;;917;917]
Sciences Humaines;;Géographie;Géographie de l'Amérique du Sud ;;918;918]
Sciences Humaines;;Géographie;Océanie, régions arctiques et antarctiques ;;919;919]
Sciences Humaines;;Histoire;Généalogie _ Héraldique ;;929;929]
Sciences Humaines;;Histoire;Sciences auxiliaires de l'histoire ;;930;930]
Sciences Humaines;;Histoire;Histoire ancienne ;;931;931]
Sciences Humaines;;Histoire;Histoire de l'Egypte ancienne ;;932;932]
Sciences Humaines;;Histoire;Histoire de la Judée ;;933;933]
Sciences Humaines;;Histoire;Histoire de l'Inde ancienne;;934;934]
Sciences Humaines;;Histoire;Histoire de Babylone - Assyrie - Mésopotamie - Asie Mineure - Perse ;;935;935]
Sciences Humaines;;Histoire;"Histoire des Pays ""barbares""- Premiers peuples indo-européens ";;936;936]
Sciences Humaines;;Histoire;Histoire romaine ;;937;937]
Sciences Humaines;;Histoire;Histoire grecque ;;938;938]
Sciences Humaines;;Histoire;Histoire ancienne de la Méditerranée et de  l'Asie ;;939;939]
Sciences Humaines;;Histoire;Histoire générale ;;94 sauf 940 à 949;94 sauf 940 à 949]
Sciences Humaines;;Histoire;Histoire de l'Europe ;;940;940]
Sciences Humaines;;Histoire;Histoire de l'ƒcosse - Irlande ;;941;941]
Sciences Humaines;;Histoire;Histoire de l'Angleterre ;;942;942]
Sciences Humaines;;Histoire;Histoire de l'Allemagne ;;943;943]
Sciences Humaines;;Histoire;Histoire de France ;;944;944]
Sciences Humaines;;Histoire;Histoire de l'Italie ;;945;945]
Sciences Humaines;;Histoire;Histoire de la Péninsule ibérique ;;946;946]
Sciences Humaines;;Histoire;Histoire de la Russie ;;947;947]
Sciences Humaines;;Histoire;Histoire de l'Europe du Nord ;;948 à 949.4;948 à 949.4]
Sciences Humaines;;Histoire;"Histoire de l'Europe du Sud-Est ; Méditerranée orientale ";;949.5 à 949.9;949.5 à 949.9]
Sciences Humaines;;Histoire;Histoire de l'Asie ;;95;95]
Sciences Humaines;;Histoire;Histoire de l'Afrique ;;96;96]
Sciences Humaines;;Histoire;Histoire du Continent américain ;;970 à 972;970 à 972]
Sciences Humaines;;Histoire;Histoire des Etats Unis ;;973;973]
Sciences Humaines;;Histoire;Histoire de l'Amérique Latine ;;980;980]
Sciences Humaines;;Histoire;Histoire de l'Amérique du Sud ;;981 à 989;981 à 989]
Sciences Humaines;;Histoire;Histoire de l'Océanie ;;990;990]
Sciences Humaines;;Histoire;Histoire de l'Australie ;;994;994]
Sciences Humaines;;Histoire;Histoire de l'Arctique ;;998;998]
BUlle;;Bandes dessinées;Bandes dessinées ;;BD;BD]
Droit - Sciences Po;;Droit;Droit - Généralités / méthodologie ;;G sauf Ge, Gf2, Gg;G sauf Ge, Gf2, Gg]
Droit - Sciences Po;;Droit;Philosophie et théorie du droit ;;Ge;Ge]
Droit - Sciences Po;;Droit;Droit des pays étrangers ;;Gf2;Gf2]
Droit - Sciences Po;;Droit;Sociologie du droit ;;Gg;Gg]
Droit - Sciences Po;;Droit;Histoire du droit ;;H;H]
Droit - Sciences Po;;Droit;Droit public, Libertés publiques, Droits de l'homme, Médias ;;J sauf Ja, Jb, Jc et Jd;J sauf Ja, Jb, Jc et Jd]
Droit - Sciences Po;;Sciences politiques;Sciences politiques ;;Ja sauf Ja0, Ja1, Ja2, Ja3 et Ja4;Ja sauf Ja0, Ja1, Ja2, Ja3 et Ja4]
Droit - Sciences Po;;Sciences politiques;Sciences politiques - Généralités ;;Ja0;Ja0]
Droit - Sciences Po;;Sciences politiques;France : politique, généralités ;;Ja1;Ja1]
Droit - Sciences Po;;Sciences politiques;Politique mondiale, relations internationales;;Ja2;Ja2]
Droit - Sciences Po;;Sciences politiques;Politique des pays;;Ja3;Ja3]
Droit - Sciences Po;;Sciences politiques;Politique comparée;;Ja4;Ja4]
Droit - Sciences Po;;Droit;Droit constitutionnel ;;Jb;Jb]
Droit - Sciences Po;;Droit;Droit administratif ;;Jc;Jc]
Droit - Sciences Po;;Droit;Finances publiques ;;Jd;Jd]
Droit - Sciences Po;;Droit;Droit privé, Droit judiciaire privé ;;K sauf Ka, Kb, Kc, Kd, Ke, Kf, Kg, Kj;K sauf Ka, Kb, Kc, Kd, Ke, Kf, Kg, Kj]
Droit - Sciences Po;;Droit;Droit civil ;;Ka1;Ka1]
Droit - Sciences Po;;Droit;Procédure civile et droit judiciaire privé ;;Ka2;Ka2]
Droit - Sciences Po;;Droit;Droit commercial (affaires, sociétés) ;;Kb;Kb]
Droit - Sciences Po;;Droit;Droit du travail et de la sécurité sociale ;;Kc;Kc]
Droit - Sciences Po;;Droit;Droit maritime, aérien, spatial ;;Kd;Kd]
Droit - Sciences Po;;Droit;Droit pénal, procédure pénale ;;Ke1;Ke1]
Droit - Sciences Po;;Droit;Criminologie ;;Ke2;Ke2]
Droit - Sciences Po;;Droit;Droit de l'économie ;;Kf;Kf]
Droit - Sciences Po;;Droit;Droit médical ;;Kg;Kg]
Droit - Sciences Po;;Droit;Droit international - généralités ;;Kj sauf Kja, Kjb Kje, Kjn;Kj sauf Kja, Kjb Kje, Kjn]
Droit - Sciences Po;;Droit;Droit international public ;;Kja;Kja]
Droit - Sciences Po;;Droit;Droit international privé ;;Kjb ;Kjb ]
Droit - Sciences Po;;Droit;Droit européen ;;Kje;Kje]
Droit - Sciences Po;;Droit;Droit des organisations internationales ;;Kjn;Kjn]
Economie;;Sciences économiques, gestion;Economie - Généralités;;La;La]
Economie;;Sciences économiques, gestion;Instruments d'analyse économique;;Lb;Lb]
Economie;;Sciences économiques, gestion;Démographie, environnement et espace ;;Lc;Lc]
Economie;;Sciences économiques, gestion;Economie de l'environnement et de l'espace ;;Ld;Ld]
Economie;;Sciences économiques, gestion;Histoire, pensée et systèmes économiques ;;Le;Le]
Economie;;Sciences économiques, gestion;Systèmes et structures économiques ;;Lf;Lf]
Economie;;Sciences économiques, gestion;Activités économiques ;;Lg;Lg]
Economie;;Sciences économiques, gestion;Economie de l'entreprise et gestion ;;Lh;Lh]
Economie;;Sciences économiques, gestion;Revenus et consommation ;;Lk;Lk]
Economie;;Sciences économiques, gestion;Monnaie, finances et marchés financiers ;;Ll;Ll]
Economie;;Sciences économiques, gestion;Croissance économique, fluctuations et développement ;;Lm;Lm]
Economie;;Sciences économiques, gestion;Economie publique ;;Lo;Lo]
Economie;;Sciences économiques, gestion;Travail, emploi et économie publique ;;Lp;Lp]
Economie;;Sciences économiques, gestion;Economie internationale ;;Lq;Lq]
Economie;;Sciences économiques, gestion;Economie européenne ;;Lr;Lr]
